LAUS_code,state_fips,county_fips,county_state,year,labor_force,employed,unemployed,unemployment_rate
CN1715900000000,17,159,"Richland County, IL",2005,7358,6950,408,5.5
CN1716100000000,17,161,"Rock Island County, IL",2005,78402,74855,3547,4.5
CN1716300000000,17,163,"St. Clair County, IL",2005,121871,114323,7548,6.2
CN1716500000000,17,165,"Saline County, IL",2005,12473,11745,728,5.8
CN1716700000000,17,167,"Sangamon County, IL",2005,105766,101041,4725,4.5
CN1716900000000,17,169,"Schuyler County, IL",2005,4360,4157,203,4.7
CN1717100000000,17,171,"Scott County, IL",2005,2809,2637,172,6.1
CN1717300000000,17,173,"Shelby County, IL",2005,11281,10698,583,5.2
CN1717500000000,17,175,"Stark County, IL",2005,2850,2694,156,5.5
CN1717700000000,17,177,"Stephenson County, IL",2005,25234,23933,1301,5.2
CN1717900000000,17,179,"Tazewell County, IL",2005,69429,66288,3141,4.5
CN1718100000000,17,181,"Union County, IL",2005,8308,7751,557,6.7
CN1718300000000,17,183,"Vermilion County, IL",2005,38045,35679,2366,6.2
CN1718500000000,17,185,"Wabash County, IL",2005,6622,6251,371,5.6
CN1718700000000,17,187,"Warren County, IL",2005,8886,8402,484,5.4
CN1718900000000,17,189,"Washington County, IL",2005,8645,8271,374,4.3
CN1719100000000,17,191,"Wayne County, IL",2005,8201,7796,405,4.9
CN1719300000000,17,193,"White County, IL",2005,7969,7583,386,4.8
CN1719500000000,17,195,"Whiteside County, IL",2005,29988,28297,1691,5.6
CN1719700000000,17,197,"Will County, IL",2005,333936,314320,19616,5.9
CN1719900000000,17,199,"Williamson County, IL",2005,33565,31799,1766,5.3
CN1720100000000,17,201,"Winnebago County, IL",2005,141325,132449,8876,6.3
CN1720300000000,17,203,"Woodford County, IL",2005,20161,19416,745,3.7
CN1800100000000,18,001,"Adams County, IN",2005,16539,15752,787,4.8
CN1800300000000,18,003,"Allen County, IN",2005,178730,169422,9308,5.2
CN1800500000000,18,005,"Bartholomew County, IN",2005,37353,35568,1785,4.8
CN1800700000000,18,007,"Benton County, IN",2005,4595,4356,239,5.2
CN1800900000000,18,009,"Blackford County, IN",2005,6809,6329,480,7
CN1801100000000,18,011,"Boone County, IN",2005,27155,26048,1107,4.1
CN1801300000000,18,013,"Brown County, IN",2005,7993,7546,447,5.6
CN1801500000000,18,015,"Carroll County, IN",2005,10505,9965,540,5.1
CN1801700000000,18,017,"Cass County, IN",2005,19254,18157,1097,5.7
CN1801900000000,18,019,"Clark County, IN",2005,53319,50558,2761,5.2
CN1802100000000,18,021,"Clay County, IN",2005,13298,12376,922,6.9
CN1802300000000,18,023,"Clinton County, IN",2005,16989,16038,951,5.6
CN1802500000000,18,025,"Crawford County, IN",2005,5424,5013,411,7.6
CN1802700000000,18,027,"Daviess County, IN",2005,14871,14265,606,4.1
CN1802900000000,18,029,"Dearborn County, IN",2005,26401,24910,1491,5.6
CN1803100000000,18,031,"Decatur County, IN",2005,12683,12048,635,5
CN1803300000000,18,033,"DeKalb County, IN",2005,21888,20527,1361,6.2
CN1803500000000,18,035,"Delaware County, IN",2005,56047,52250,3797,6.8
CN1803700000000,18,037,"Dubois County, IN",2005,22384,21518,866,3.9
CN1803900000000,18,039,"Elkhart County, IN",2005,101824,97166,4658,4.6
CN1804100000000,18,041,"Fayette County, IN",2005,11434,10523,911,8
CN1804300000000,18,043,"Floyd County, IN",2005,37449,35519,1930,5.2
CN1804500000000,18,045,"Fountain County, IN",2005,8794,8322,472,5.4
CN1804700000000,18,047,"Franklin County, IN",2005,12039,11276,763,6.3
CN1804900000000,18,049,"Fulton County, IN",2005,10453,9897,556,5.3
CN1805100000000,18,051,"Gibson County, IN",2005,17290,16443,847,4.9
CN1805300000000,18,053,"Grant County, IN",2005,33286,30507,2779,8.3
CN1805500000000,18,055,"Greene County, IN",2005,16717,15617,1100,6.6
CN1805700000000,18,057,"Hamilton County, IN",2005,130624,126091,4533,3.5
CN1805900000000,18,059,"Hancock County, IN",2005,34397,32934,1463,4.3
CN1806100000000,18,061,"Harrison County, IN",2005,19607,18379,1228,6.3
CN1806300000000,18,063,"Hendricks County, IN",2005,69376,66589,2787,4
CN1806500000000,18,065,"Henry County, IN",2005,23019,21468,1551,6.7
CN1806700000000,18,067,"Howard County, IN",2005,39128,36598,2530,6.5
CN1806900000000,18,069,"Huntington County, IN",2005,20601,19452,1149,5.6
CN1807100000000,18,071,"Jackson County, IN",2005,22172,21108,1064,4.8
CN1807300000000,18,073,"Jasper County, IN",2005,15208,14352,856,5.6
CN1807500000000,18,075,"Jay County, IN",2005,11627,11007,620,5.3
CN1807700000000,18,077,"Jefferson County, IN",2005,17376,16455,921,5.3
CN1807900000000,18,079,"Jennings County, IN",2005,13972,13042,930,6.7
CN1808100000000,18,081,"Johnson County, IN",2005,69988,66969,3019,4.3
CN1808300000000,18,083,"Knox County, IN",2005,19239,18261,978,5.1
CN1808500000000,18,085,"Kosciusko County, IN",2005,41299,39530,1769,4.3
CN1808700000000,18,087,"LaGrange County, IN",2005,17324,16479,845,4.9
CN1808900000000,18,089,"Lake County, IN",2005,225163,211406,13757,6.1
CN1809100000000,18,091,"LaPorte County, IN",2005,53013,49838,3175,6
CN1809300000000,18,093,"Lawrence County, IN",2005,22418,20695,1723,7.7
CN1809500000000,18,095,"Madison County, IN",2005,63136,59021,4115,6.5
CN1809700000000,18,097,"Marion County, IN",2005,459020,433830,25190,5.5
CN1809900000000,18,099,"Marshall County, IN",2005,22715,21538,1177,5.2
CN1810100000000,18,101,"Martin County, IN",2005,5155,4878,277,5.4
CN1810300000000,18,103,"Miami County, IN",2005,17357,16288,1069,6.2
CN1810500000000,18,105,"Monroe County, IN",2005,66619,63436,3183,4.8
CN1810700000000,18,107,"Montgomery County, IN",2005,19862,18942,920,4.6
CN1810900000000,18,109,"Morgan County, IN",2005,37171,35343,1828,4.9
CN1811100000000,18,111,"Newton County, IN",2005,7075,6698,377,5.3
CN1811300000000,18,113,"Noble County, IN",2005,23761,22315,1446,6.1
CN1811500000000,18,115,"Ohio County, IN",2005,3149,2984,165,5.2
CN1811700000000,18,117,"Orange County, IN",2005,9301,8620,681,7.3
CN1811900000000,18,119,"Owen County, IN",2005,11752,11023,729,6.2
CN1812100000000,18,121,"Parke County, IN",2005,8103,7586,517,6.4
CN1812300000000,18,123,"Perry County, IN",2005,9720,9157,563,5.8
CN1812500000000,18,125,"Pike County, IN",2005,6232,5888,344,5.5
CN1812700000000,18,127,"Porter County, IN",2005,81029,77208,3821,4.7
CN1812900000000,18,129,"Posey County, IN",2005,13857,13187,670,4.8
CN1813100000000,18,131,"Pulaski County, IN",2005,7068,6718,350,5
CN1813300000000,18,133,"Putnam County, IN",2005,17784,16611,1173,6.6
CN1813500000000,18,135,"Randolph County, IN",2005,13084,12128,956,7.3
CN1813700000000,18,137,"Ripley County, IN",2005,14862,14083,779,5.2
CN1813900000000,18,139,"Rush County, IN",2005,9548,9103,445,4.7
CN1814100000000,18,141,"St. Joseph County, IN",2005,134026,126965,7061,5.3
CN1814300000000,18,143,"Scott County, IN",2005,11381,10680,701,6.2
CN1814500000000,18,145,"Shelby County, IN",2005,23654,22482,1172,5
CN1814700000000,18,147,"Spencer County, IN",2005,10714,10109,605,5.6
CN1814900000000,18,149,"Starke County, IN",2005,10624,9887,737,6.9
CN1815100000000,18,151,"Steuben County, IN",2005,16993,15936,1057,6.2
CN1815300000000,18,153,"Sullivan County, IN",2005,9281,8597,684,7.4
CN1815500000000,18,155,"Switzerland County, IN",2005,5762,5492,270,4.7
CN1815700000000,18,157,"Tippecanoe County, IN",2005,79307,75507,3800,4.8
CN1815900000000,18,159,"Tipton County, IN",2005,8069,7612,457,5.7
CN1816100000000,18,161,"Union County, IN",2005,3870,3656,214,5.5
CN1816300000000,18,163,"Vanderburgh County, IN",2005,91358,86629,4729,5.2
CN1816500000000,18,165,"Vermillion County, IN",2005,8120,7525,595,7.3
CN1816700000000,18,167,"Vigo County, IN",2005,49839,46491,3348,6.7
CN1816900000000,18,169,"Wabash County, IN",2005,17697,16542,1155,6.5
CN1817100000000,18,171,"Warren County, IN",2005,4775,4563,212,4.4
CN1817300000000,18,173,"Warrick County, IN",2005,30574,29163,1411,4.6
CN1817500000000,18,175,"Washington County, IN",2005,13997,13141,856,6.1
CN1817700000000,18,177,"Wayne County, IN",2005,32985,30668,2317,7
CN1817900000000,18,179,"Wells County, IN",2005,14849,14143,706,4.8
CN1818100000000,18,181,"White County, IN",2005,12249,11549,700,5.7
CN1818300000000,18,183,"Whitley County, IN",2005,17663,16773,890,5
CN1900100000000,19,001,"Adair County, IA",2005,4396,4219,177,4
CN1900300000000,19,003,"Adams County, IA",2005,1995,1890,105,5.3
CN1900500000000,19,005,"Allamakee County, IA",2005,7990,7570,420,5.3
CN1900700000000,19,007,"Appanoose County, IA",2005,6467,6129,338,5.2
CN1900900000000,19,009,"Audubon County, IA",2005,3352,3198,154,4.6
CN1901100000000,19,011,"Benton County, IA",2005,14420,13734,686,4.8
CN1901300000000,19,013,"Black Hawk County, IA",2005,71450,68330,3120,4.4
CN1901500000000,19,015,"Boone County, IA",2005,15361,14827,534,3.5
CN1901700000000,19,017,"Bremer County, IA",2005,13720,13214,506,3.7
CN1901900000000,19,019,"Buchanan County, IA",2005,11157,10645,512,4.6
CN1902100000000,19,021,"Buena Vista County, IA",2005,10276,9881,395,3.8
CN1902300000000,19,023,"Butler County, IA",2005,8099,7709,390,4.8
CN1902500000000,19,025,"Calhoun County, IA",2005,5148,4942,206,4
CN1902700000000,19,027,"Carroll County, IA",2005,12259,11890,369,3
CN1902900000000,19,029,"Cass County, IA",2005,7622,7269,353,4.6
CN1903100000000,19,031,"Cedar County, IA",2005,10574,10175,399,3.8
CN1903300000000,19,033,"Cerro Gordo County, IA",2005,26091,24946,1145,4.4
CN1903500000000,19,035,"Cherokee County, IA",2005,6568,6260,308,4.7
CN1903700000000,19,037,"Chickasaw County, IA",2005,6231,5901,330,5.3
CN1903900000000,19,039,"Clarke County, IA",2005,4639,4398,241,5.2
CN1904100000000,19,041,"Clay County, IA",2005,9483,9105,378,4
CN1904300000000,19,043,"Clayton County, IA",2005,9489,8870,619,6.5
CN1904500000000,19,045,"Clinton County, IA",2005,26806,25527,1279,4.8
CN1904700000000,19,047,"Crawford County, IA",2005,9166,8813,353,3.9
CN1904900000000,19,049,"Dallas County, IA",2005,29414,28414,1000,3.4
CN1905100000000,19,051,"Davis County, IA",2005,4121,3900,221,5.4
CN1905300000000,19,053,"Decatur County, IA",2005,4189,3984,205,4.9
CN1905500000000,19,055,"Delaware County, IA",2005,10435,9974,461,4.4
CN1905700000000,19,057,"Des Moines County, IA",2005,20848,19711,1137,5.5
CN1905900000000,19,059,"Dickinson County, IA",2005,10156,9718,438,4.3
CN1906100000000,19,061,"Dubuque County, IA",2005,50756,48547,2209,4.4
CN1906300000000,19,063,"Emmet County, IA",2005,5939,5676,263,4.4
CN1906500000000,19,065,"Fayette County, IA",2005,11071,10513,558,5
CN1906700000000,19,067,"Floyd County, IA",2005,8807,8362,445,5.1
CN1906900000000,19,069,"Franklin County, IA",2005,5714,5445,269,4.7
CN1907100000000,19,071,"Fremont County, IA",2005,3944,3786,158,4
CN1907300000000,19,073,"Greene County, IA",2005,5052,4819,233,4.6
CN1907500000000,19,075,"Grundy County, IA",2005,6870,6610,260,3.8
CN1907700000000,19,077,"Guthrie County, IA",2005,6111,5855,256,4.2
CN1907900000000,19,079,"Hamilton County, IA",2005,8665,8327,338,3.9
CN1908100000000,19,081,"Hancock County, IA",2005,6328,6039,289,4.6
CN1908300000000,19,083,"Hardin County, IA",2005,8937,8512,425,4.8
CN1908500000000,19,085,"Harrison County, IA",2005,8060,7681,379,4.7
CN1908700000000,19,087,"Henry County, IA",2005,10483,9961,522,5
CN1908900000000,19,089,"Howard County, IA",2005,5192,4963,229,4.4
CN1909100000000,19,091,"Humboldt County, IA",2005,5187,4994,193,3.7
CN1909300000000,19,093,"Ida County, IA",2005,3920,3763,157,4
CN1909500000000,19,095,"Iowa County, IA",2005,8812,8422,390,4.4
CN1909700000000,19,097,"Jackson County, IA",2005,11176,10582,594,5.3
CN1909900000000,19,099,"Jasper County, IA",2005,18632,17532,1100,5.9
CN1910100000000,19,101,"Jefferson County, IA",2005,8280,7894,386,4.7
CN1910300000000,19,103,"Johnson County, IA",2005,73754,71422,2332,3.2
CN1910500000000,19,105,"Jones County, IA",2005,10416,9917,499,4.8
CN1910700000000,19,107,"Keokuk County, IA",2005,5810,5533,277,4.8
CN1910900000000,19,109,"Kossuth County, IA",2005,8876,8520,356,4
CN1911100000000,19,111,"Lee County, IA",2005,17390,16244,1146,6.6
CN1911300000000,19,113,"Linn County, IA",2005,113162,108290,4872,4.3
CN1911500000000,19,115,"Louisa County, IA",2005,6254,5978,276,4.4
CN1911700000000,19,117,"Lucas County, IA",2005,4834,4583,251,5.2
CN1911900000000,19,119,"Lyon County, IA",2005,6447,6257,190,2.9
CN1912100000000,19,121,"Madison County, IA",2005,8135,7763,372,4.6
CN1912300000000,19,123,"Mahaska County, IA",2005,11638,11137,501,4.3
CN1912500000000,19,125,"Marion County, IA",2005,17585,16886,699,4
CN1912700000000,19,127,"Marshall County, IA",2005,20468,19485,983,4.8
CN1912900000000,19,129,"Mills County, IA",2005,8171,7837,334,4.1
CN1913100000000,19,131,"Mitchell County, IA",2005,5343,5114,229,4.3
CN1913300000000,19,133,"Monona County, IA",2005,4709,4439,270,5.7
CN1913500000000,19,135,"Monroe County, IA",2005,3870,3674,196,5.1
CN1913700000000,19,137,"Montgomery County, IA",2005,5849,5593,256,4.4
CN1913900000000,19,139,"Muscatine County, IA",2005,23365,22455,910,3.9
CN1914100000000,19,141,"O'Brien County, IA",2005,7593,7304,289,3.8
CN1914300000000,19,143,"Osceola County, IA",2005,3436,3299,137,4
CN1914500000000,19,145,"Page County, IA",2005,8111,7798,313,3.9
CN1914700000000,19,147,"Palo Alto County, IA",2005,5096,4893,203,4
CN1914900000000,19,149,"Plymouth County, IA",2005,14075,13580,495,3.5
CN1915100000000,19,151,"Pocahontas County, IA",2005,3860,3698,162,4.2
CN1915300000000,19,153,"Polk County, IA",2005,227802,218633,9169,4
CN1915500000000,19,155,"Pottawattamie County, IA",2005,48623,46225,2398,4.9
CN1915700000000,19,157,"Poweshiek County, IA",2005,10264,9790,474,4.6
CN1915900000000,19,159,"Ringgold County, IA",2005,2426,2315,111,4.6
CN1916100000000,19,161,"Sac County, IA",2005,5753,5526,227,3.9
CN1916300000000,19,163,"Scott County, IA",2005,88070,84142,3928,4.5
CN1916500000000,19,165,"Shelby County, IA",2005,7063,6800,263,3.7
CN1916700000000,19,167,"Sioux County, IA",2005,18823,18273,550,2.9
CN1916900000000,19,169,"Story County, IA",2005,46883,45452,1431,3.1
CN1917100000000,19,171,"Tama County, IA",2005,8973,8473,500,5.6
CN1917300000000,19,173,"Taylor County, IA",2005,3363,3234,129,3.8
CN1917500000000,19,175,"Union County, IA",2005,6334,6019,315,5
CN1917700000000,19,177,"Van Buren County, IA",2005,3809,3612,197,5.2
CN1917900000000,19,179,"Wapello County, IA",2005,19139,18090,1049,5.5
CN1918100000000,19,181,"Warren County, IA",2005,24580,23674,906,3.7
CN1918300000000,19,183,"Washington County, IA",2005,12241,11779,462,3.8
CN1918500000000,19,185,"Wayne County, IA",2005,3164,3017,147,4.6
CN1918700000000,19,187,"Webster County, IA",2005,19690,18842,848,4.3
CN1918900000000,19,189,"Winnebago County, IA",2005,5949,5676,273,4.6
CN1919100000000,19,191,"Winneshiek County, IA",2005,12423,11900,523,4.2
CN1919300000000,19,193,"Woodbury County, IA",2005,53290,50697,2593,4.9
CN1919500000000,19,195,"Worth County, IA",2005,4607,4394,213,4.6
CN1919700000000,19,197,"Wright County, IA",2005,7148,6842,306,4.3
CN2000100000000,20,001,"Allen County, KS",2005,7162,6774,388,5.4
CN2000300000000,20,003,"Anderson County, KS",2005,4020,3780,240,6
CN2000500000000,20,005,"Atchison County, KS",2005,8637,8158,479,5.5
CN2000700000000,20,007,"Barber County, KS",2005,2589,2493,96,3.7
CN2000900000000,20,009,"Barton County, KS",2005,14721,14124,597,4.1
CN2001100000000,20,011,"Bourbon County, KS",2005,8639,8200,439,5.1
CN2001300000000,20,013,"Brown County, KS",2005,5573,5303,270,4.8
CN2001500000000,20,015,"Butler County, KS",2005,31890,30117,1773,5.6
CN2001700000000,20,017,"Chase County, KS",2005,1681,1611,70,4.2
CN2001900000000,20,019,"Chautauqua County, KS",2005,1955,1851,104,5.3
CN2002100000000,20,021,"Cherokee County, KS",2005,10847,10140,707,6.5
CN2002300000000,20,023,"Cheyenne County, KS",2005,1532,1463,69,4.5
CN2002500000000,20,025,"Clark County, KS",2005,1175,1134,41,3.5
CN2002700000000,20,027,"Clay County, KS",2005,4849,4649,200,4.1
CN2002900000000,20,029,"Cloud County, KS",2005,5659,5443,216,3.8
CN2003100000000,20,031,"Coffey County, KS",2005,5130,4841,289,5.6
CN2003300000000,20,033,"Comanche County, KS",2005,1070,1038,32,3
CN2003500000000,20,035,"Cowley County, KS",2005,17672,16690,982,5.6
CN2003700000000,20,037,"Crawford County, KS",2005,19350,18230,1120,5.8
CN2003900000000,20,039,"Decatur County, KS",2005,1691,1633,58,3.4
CN2004100000000,20,041,"Dickinson County, KS",2005,10493,10017,476,4.5
CN2004300000000,20,043,"Doniphan County, KS",2005,4416,4136,280,6.3
CN2004500000000,20,045,"Douglas County, KS",2005,62881,60357,2524,4
CN2004700000000,20,047,"Edwards County, KS",2005,1779,1718,61,3.4
CN2004900000000,20,049,"Elk County, KS",2005,1446,1365,81,5.6
CN2005100000000,20,051,"Ellis County, KS",2005,16556,15991,565,3.4
CN2005300000000,20,053,"Ellsworth County, KS",2005,3382,3248,134,4
CN2005500000000,20,055,"Finney County, KS",2005,17972,17222,750,4.2
CN2005700000000,20,057,"Ford County, KS",2005,16595,15993,602,3.6
CN2005900000000,20,059,"Franklin County, KS",2005,13803,13011,792,5.7
CN2006100000000,20,061,"Geary County, KS",2005,11093,10429,664,6
CN2006300000000,20,063,"Gove County, KS",2005,1509,1463,46,3
CN2006500000000,20,065,"Graham County, KS",2005,1405,1354,51,3.6
CN2006700000000,20,067,"Grant County, KS",2005,3768,3632,136,3.6
CN2006900000000,20,069,"Gray County, KS",2005,3140,3044,96,3.1
CN2007100000000,20,071,"Greeley County, KS",2005,739,708,31,4.2
CN2007300000000,20,073,"Greenwood County, KS",2005,3596,3404,192,5.3
CN2007500000000,20,075,"Hamilton County, KS",2005,1239,1198,41,3.3
CN2007700000000,20,077,"Harper County, KS",2005,3404,3278,126,3.7
CN2007900000000,20,079,"Harvey County, KS",2005,17945,17131,814,4.5
CN2008100000000,20,081,"Haskell County, KS",2005,2135,2068,67,3.1
CN2008300000000,20,083,"Hodgeman County, KS",2005,960,922,38,4
CN2008500000000,20,085,"Jackson County, KS",2005,7123,6708,415,5.8
CN2008700000000,20,087,"Jefferson County, KS",2005,10098,9571,527,5.2
CN2008900000000,20,089,"Jewell County, KS",2005,1964,1901,63,3.2
CN2009100000000,20,091,"Johnson County, KS",2005,289591,276214,13377,4.6
CN2009300000000,20,093,"Kearny County, KS",2005,2009,1923,86,4.3
CN2009500000000,20,095,"Kingman County, KS",2005,4311,4128,183,4.2
CN2009700000000,20,097,"Kiowa County, KS",2005,1607,1551,56,3.5
CN2009900000000,20,099,"Labette County, KS",2005,10397,9718,679,6.5
CN2010100000000,20,101,"Lane County, KS",2005,1059,1021,38,3.6
CN2010300000000,20,103,"Leavenworth County, KS",2005,32953,30905,2048,6.2
CN2010500000000,20,105,"Lincoln County, KS",2005,1796,1719,77,4.3
CN2010700000000,20,107,"Linn County, KS",2005,4875,4518,357,7.3
CN2010900000000,20,109,"Logan County, KS",2005,1545,1489,56,3.6
CN2011100000000,20,111,"Lyon County, KS",2005,19416,18522,894,4.6
CN2011300000000,20,113,"McPherson County, KS",2005,17001,16354,647,3.8
CN2011500000000,20,115,"Marion County, KS",2005,6747,6462,285,4.2
CN2011700000000,20,117,"Marshall County, KS",2005,5890,5669,221,3.8
CN2011900000000,20,119,"Meade County, KS",2005,2141,2062,79,3.7
CN2012100000000,20,121,"Miami County, KS",2005,16258,15418,840,5.2
CN2012300000000,20,123,"Mitchell County, KS",2005,3423,3293,130,3.8
CN2012500000000,20,125,"Montgomery County, KS",2005,16818,15826,992,5.9
CN2012700000000,20,127,"Morris County, KS",2005,2900,2753,147,5.1
CN2012900000000,20,129,"Morton County, KS",2005,1700,1640,60,3.5
CN2013100000000,20,131,"Nemaha County, KS",2005,5396,5197,199,3.7
CN2013300000000,20,133,"Neosho County, KS",2005,8747,8302,445,5.1
CN2013500000000,20,135,"Ness County, KS",2005,1693,1637,56,3.3
CN2013700000000,20,137,"Norton County, KS",2005,2713,2613,100,3.7
CN2013900000000,20,139,"Osage County, KS",2005,9081,8514,567,6.2
CN2014100000000,20,141,"Osborne County, KS",2005,2288,2199,89,3.9
CN2014300000000,20,143,"Ottawa County, KS",2005,3352,3198,154,4.6
CN2014500000000,20,145,"Pawnee County, KS",2005,3847,3700,147,3.8
CN2014700000000,20,147,"Phillips County, KS",2005,3064,2951,113,3.7
CN2014900000000,20,149,"Pottawatomie County, KS",2005,10761,10318,443,4.1
CN2015100000000,20,151,"Pratt County, KS",2005,5467,5270,197,3.6
CN2015300000000,20,153,"Rawlins County, KS",2005,1332,1279,53,4
CN2015500000000,20,155,"Reno County, KS",2005,32413,30788,1625,5
CN2015700000000,20,157,"Republic County, KS",2005,2742,2630,112,4.1
CN2015900000000,20,159,"Rice County, KS",2005,5450,5198,252,4.6
CN2016100000000,20,161,"Riley County, KS",2005,33829,32551,1278,3.8
CN2016300000000,20,163,"Rooks County, KS",2005,2659,2546,113,4.2
CN2016500000000,20,165,"Rush County, KS",2005,1652,1585,67,4.1
CN2016700000000,20,167,"Russell County, KS",2005,3449,3287,162,4.7
CN2016900000000,20,169,"Saline County, KS",2005,30210,28872,1338,4.4
CN2017100000000,20,171,"Scott County, KS",2005,2811,2715,96,3.4
CN2017300000000,20,173,"Sedgwick County, KS",2005,243805,230356,13449,5.5
CN2017500000000,20,175,"Seward County, KS",2005,10404,9990,414,4
CN2017700000000,20,177,"Shawnee County, KS",2005,92903,87777,5126,5.5
CN2017900000000,20,179,"Sheridan County, KS",2005,1513,1469,44,2.9
CN2018100000000,20,181,"Sherman County, KS",2005,3588,3465,123,3.4
CN2018300000000,20,183,"Smith County, KS",2005,2245,2162,83,3.7
CN2018500000000,20,185,"Stafford County, KS",2005,2212,2125,87,3.9
CN2018700000000,20,187,"Stanton County, KS",2005,1130,1096,34,3
CN2018900000000,20,189,"Stevens County, KS",2005,2392,2294,98,4.1
CN2019100000000,20,191,"Sumner County, KS",2005,12215,11489,726,5.9
CN2019300000000,20,193,"Thomas County, KS",2005,4310,4173,137,3.2
CN2019500000000,20,195,"Trego County, KS",2005,1714,1656,58,3.4
CN2019700000000,20,197,"Wabaunsee County, KS",2005,3757,3585,172,4.6
CN2019900000000,20,199,"Wallace County, KS",2005,924,896,28,3
CN2020100000000,20,201,"Washington County, KS",2005,3393,3262,131,3.9
CN2020300000000,20,203,"Wichita County, KS",2005,1298,1252,46,3.5
CN2020500000000,20,205,"Wilson County, KS",2005,5372,5130,242,4.5
CN2020700000000,20,207,"Woodson County, KS",2005,1675,1568,107,6.4
CN2020900000000,20,209,"Wyandotte County, KS",2005,73246,66838,6408,8.7
CN2100100000000,21,001,"Adair County, KY",2005,8640,8159,481,5.6
CN2100300000000,21,003,"Allen County, KY",2005,8551,7999,552,6.5
CN2100500000000,21,005,"Anderson County, KY",2005,10574,10070,504,4.8
CN2100700000000,21,007,"Ballard County, KY",2005,4163,3880,283,6.8
CN2100900000000,21,009,"Barren County, KY",2005,19287,18250,1037,5.4
CN2101100000000,21,011,"Bath County, KY",2005,4993,4587,406,8.1
CN2101300000000,21,013,"Bell County, KY",2005,9388,8693,695,7.4
CN2101500000000,21,015,"Boone County, KY",2005,59651,56807,2844,4.8
CN2101700000000,21,017,"Bourbon County, KY",2005,9770,9240,530,5.4
CN2101900000000,21,019,"Boyd County, KY",2005,22896,21549,1347,5.9
CN2102100000000,21,021,"Boyle County, KY",2005,12660,11826,834,6.6
CN2102300000000,21,023,"Bracken County, KY",2005,4404,4126,278,6.3
CN2102500000000,21,025,"Breathitt County, KY",2005,5540,5130,410,7.4
CN2102700000000,21,027,"Breckinridge County, KY",2005,8883,8264,619,7
CN2102900000000,21,029,"Bullitt County, KY",2005,35727,33701,2026,5.7
CN2103100000000,21,031,"Butler County, KY",2005,5696,5292,404,7.1
CN2103300000000,21,033,"Caldwell County, KY",2005,6369,5996,373,5.9
CN2103500000000,21,035,"Calloway County, KY",2005,17526,16552,974,5.6
CN2103700000000,21,037,"Campbell County, KY",2005,45762,43309,2453,5.4
CN2103900000000,21,039,"Carlisle County, KY",2005,2312,2144,168,7.3
CN2104100000000,21,041,"Carroll County, KY",2005,5597,5287,310,5.5
CN2104300000000,21,043,"Carter County, KY",2005,13572,12456,1116,8.2
CN2104500000000,21,045,"Casey County, KY",2005,7047,6621,426,6
CN2104700000000,21,047,"Christian County, KY",2005,26357,24526,1831,6.9
CN2104900000000,21,049,"Clark County, KY",2005,16992,16068,924,5.4
CN2105100000000,21,051,"Clay County, KY",2005,7125,6523,602,8.4
CN2105300000000,21,053,"Clinton County, KY",2005,4524,4235,289,6.4
CN2105500000000,21,055,"Crittenden County, KY",2005,3985,3748,237,5.9
CN2105700000000,21,057,"Cumberland County, KY",2005,2950,2717,233,7.9
CN2105900000000,21,059,"Daviess County, KY",2005,46155,43476,2679,5.8
CN2106100000000,21,061,"Edmonson County, KY",2005,5386,5005,381,7.1
CN2106300000000,21,063,"Elliott County, KY",2005,2993,2706,287,9.6
CN2106500000000,21,065,"Estill County, KY",2005,6015,5588,427,7.1
CN2106700000000,21,067,"Fayette County, KY",2005,145783,139299,6484,4.4
CN2106900000000,21,069,"Fleming County, KY",2005,6602,6205,397,6
CN2107100000000,21,071,"Floyd County, KY",2005,14921,13875,1046,7
CN2107300000000,21,073,"Franklin County, KY",2005,25010,23854,1156,4.6
CN2107500000000,21,075,"Fulton County, KY",2005,2846,2637,209,7.3
CN2107700000000,21,077,"Gallatin County, KY",2005,4037,3800,237,5.9
CN2107900000000,21,079,"Garrard County, KY",2005,7492,7030,462,6.2
CN2108100000000,21,081,"Grant County, KY",2005,12542,11858,684,5.5
CN2108300000000,21,083,"Graves County, KY",2005,16266,14653,1613,9.9
CN2108500000000,21,085,"Grayson County, KY",2005,11451,10469,982,8.6
CN2108700000000,21,087,"Green County, KY",2005,5562,5221,341,6.1
CN2108900000000,21,089,"Greenup County, KY",2005,17132,16044,1088,6.4
CN2109100000000,21,091,"Hancock County, KY",2005,4137,3880,257,6.2
CN2109300000000,21,093,"Hardin County, KY",2005,46030,43356,2674,5.8
CN2109500000000,21,095,"Harlan County, KY",2005,10012,9229,783,7.8
CN2109700000000,21,097,"Harrison County, KY",2005,8845,8326,519,5.9
CN2109900000000,21,099,"Hart County, KY",2005,7783,7281,502,6.4
CN2110100000000,21,101,"Henderson County, KY",2005,23076,21836,1240,5.4
CN2110300000000,21,103,"Henry County, KY",2005,7871,7423,448,5.7
CN2110500000000,21,105,"Hickman County, KY",2005,2041,1883,158,7.7
CN2110700000000,21,107,"Hopkins County, KY",2005,22644,21321,1323,5.8
CN2110900000000,21,109,"Jackson County, KY",2005,4749,4394,355,7.5
CN2111100000000,21,111,"Jefferson County, KY",2005,350311,329603,20708,5.9
CN2111300000000,21,113,"Jessamine County, KY",2005,21801,20782,1019,4.7
CN2111500000000,21,115,"Johnson County, KY",2005,9673,9023,650,6.7
